key,group,canonical_ids,expanded_count,candidate_count,audit_status,priority,finding
"features/search/workspace-index.feature:8","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:16","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:24","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:33","native-tui-search","","1","0","policy-conflict","P1","Default background refresh contradicts explicit read-only GET statements at lines199,211; Piclaw search can schedule background work, Gi GET rejects refresh. Clarify scope/policy."
"features/search/workspace-index.feature:41","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:49","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:61","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:70","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:78","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:87","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:96","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:106","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:114","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:122","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:130","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:140","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:150","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:161","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:173","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:189","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/search/workspace-index.feature:199","native-tui-search","","1","0","policy-conflict","P1","Explicit Reindex is compatible with immutable GET but conflicts with line33 default auto-refresh for absent/stale scopes."
"features/search/workspace-index.feature:211","native-tui-search","","1","0","policy-conflict","P1","GET retains committed snapshot until explicit refresh by design; line33 requests refresh on search."
"features/search/workspace-index.feature:224","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/tui/assistant_basics.feature:4","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/tui/assistant_basics.feature:10","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/tui/assistant_basics.feature:34","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/tui/keyboard_behavior.feature:4","native-tui-search","","1","0","awaiting-clause-audit","",""
"features/tui/pi_like_workflows.feature:4","native-tui-search","","1","0","awaiting-clause-audit","",""
